champion,win_rate,kda_enhanced,efficiency_score,impact_score,dataset_type,season,patch,has_blue_team,has_red_team,teams_balanced,player,kda,player_efficiency,kill_participation,economic_impact,id
Syndra,50.0,4.714285714285714,54.71428571428572,1.750857142857143,champion,,,,,,,,,,,52
Shyvana,0.0,0.4444444444444444,0.4444444444444444,0.0142222222222222,champion,,,,,,,,,,,53
Blitzcrank,100.0,8.0,108.0,1.7280000000000002,champion,,,,,,,,,,,54
Cassiopeia,100.0,9.0,109.0,1.744,champion,,,,,,,,,,,55
Jayce,100.0,8.5,108.5,1.7360000000000002,champion,,,,,,,,,,,56
Kayle,100.0,2.0,102.0,1.632,champion,,,,,,,,,,,57
Sivir,100.0,13.0,113.0,1.808,champion,,,,,,,,,,,58
Tryndamere,100.0,5.0,105.0,1.68,champion,,,,,,,,,,,59
Veigar,100.0,5.0,105.0,1.68,champion,,,,,,,,,,,60
Volibear,100.0,7.333333333333333,107.33333333333331,1.7173333333333334,champion,,,,,,,,,,,61
Dr. Mundo,0.0,0.2857142857142857,0.2857142857142857,0.0045714285714285,champion,,,,,,,,,,,62
Hecarim,0.0,7.5,7.5,0.12,champion,,,,,,,,,,,63
Karma,0.0,0.8571428571428571,0.8571428571428571,0.0137142857142857,champion,,,,,,,,,,,64
Miss Fortune,0.0,1.0,1.0,0.016,champion,,,,,,,,,,,65
Soraka,0.0,1.0,1.0,0.016,champion,,,,,,,,,,,66
Swain,0.0,1.2,1.2,0.0192,champion,,,,,,,,,,,67
Teemo,0.0,1.8333333333333333,1.8333333333333333,0.0293333333333333,champion,,,,,,,,,,,68
Xin Zhao,0.0,0.3333333333333333,0.3333333333333333,0.0053333333333333,champion,,,,,,,,,,,69
Zilean,0.0,1.2857142857142858,1.2857142857142858,0.0205714285714285,champion,,,,,,,,,,,70
Nidalee,12.5,0.9523809523809524,13.452380952380953,4.318214285714286,champion,,,,,,,,,,,71
Dr. Mundo,10.0,1.5806451612903227,11.580645161290322,1.4823225806451612,champion,,,,,,,,,,,72
Leona,33.3,2.1021021021021022,35.4021021021021,1.3452798798798795,champion,,,,,,,,,,,73
Pantheon,33.3,1.734,35.034,1.331292,champion,,,,,,,,,,,74
Blitzcrank,0.0,1.315955766192733,1.315955766192733,0.0500063191153238,champion,,,,,,,,,,,75
Sona,0.0,1.165,1.165,0.04427,champion,,,,,,,,,,,76
Caitlyn,50.0,4.75,54.75,1.4235,champion,,,,,,,,,,,77
Graves,50.0,3.8,53.8,1.3988,champion,,,,,,,,,,,78
Singed,50.0,6.6,56.6,1.4716,champion,,,,,,,,,,,79
Ziggs,50.0,4.666666666666667,54.66666666666666,1.4213333333333331,champion,,,,,,,,,,,80
Ezreal,0.0,5.0,5.0,0.13,champion,,,,,,,,,,,81
Akali,100.0,17.0,117.0,1.521,champion,,,,,,,,,,,82
Fiddlesticks,100.0,3.75,103.75,1.34875,champion,,,,,,,,,,,83
Katarina,100.0,14.0,114.0,1.4820000000000002,champion,,,,,,,,,,,84
Lissandra,100.0,7.5,107.5,1.3975,champion,,,,,,,,,,,85
Riven,100.0,2.0,102.0,1.3259999999999998,champion,,,,,,,,,,,86
Swain,100.0,1.25,101.25,1.31625,champion,,,,,,,,,,,87
Galio,0.0,0.4285714285714285,0.4285714285714285,0.0055714285714285,champion,,,,,,,,,,,88
Nunu,0.0,0.4,0.4,0.0052,champion,,,,,,,,,,,89
Varus,0.0,1.0,1.0,0.013,champion,,,,,,,,,,,90
Vi,0.0,0.1428571428571428,0.1428571428571428,0.0018571428571428,champion,,,,,,,,,,,91
Varus,50.0,1.6,51.6,4.231199999999999,champion,,,,,,,,,,,92
Evelynn,25.0,1.5625,26.5625,1.4609375,champion,,,,,,,,,,,93
Ahri,33.3,11.0,44.3,1.8163,champion,,,,,,,,,,,94
Skarner,33.3,3.197604790419162,36.49760479041916,1.4964017964071854,champion,,,,,,,,,,,95
Maokai,0.0,0.9009009009009008,0.9009009009009008,0.0369369369369369,champion,,,,,,,,,,,96
Bard,0.0,1.7,1.7,0.0458999999999999,champion,,,,,,,,,,,97
Irelia,0.0,0.8888888888888888,0.8888888888888888,0.024,champion,,,,,,,,,,,98
Rengar,0.0,2.0,2.0,0.054,champion,,,,,,,,,,,99
Zed,0.0,2.333333333333333,2.333333333333333,0.063,champion,,,,,,,,,,,100
Draven,100.0,12.0,112.0,1.5679999999999998,champion,,,,,,,,,,,101
Graves,100.0,7.5,107.5,1.505,champion,,,,,,,,,,,102
Karthus,100.0,4.666666666666667,104.66666666666669,1.4653333333333334,champion,,,,,,,,,,,103
Leona,100.0,2.333333333333333,102.33333333333331,1.4326666666666663,champion,,,,,,,,,,,104
Lucian,100.0,4.5,104.5,1.463,champion,,,,,,,,,,,105
Vladimir,100.0,2.6666666666666665,102.66666666666669,1.4373333333333331,champion,,,,,,,,,,,106
Blitzcrank,0.0,0.6,0.6,0.0084,champion,,,,,,,,,,,107
Brand,0.0,1.8333333333333333,1.8333333333333333,0.0256666666666666,champion,,,,,,,,,,,108
Cassiopeia,0.0,5.0,5.0,0.07,champion,,,,,,,,,,,109
Jayce,0.0,4.0,4.0,0.0559999999999999,champion,,,,,,,,,,,110
Nautilus,0.0,1.5,1.5,0.0209999999999999,champion,,,,,,,,,,,111
Nunu,0.0,2.4,2.4,0.0336,champion,,,,,,,,,,,112
Syndra,0.0,5.0,5.0,0.07,champion,,,,,,,,,,,113
Twitch,0.0,1.5,1.5,0.0209999999999999,champion,,,,,,,,,,,114
Vi,0.0,0.1666666666666666,0.1666666666666666,0.0023333333333333,champion,,,,,,,,,,,115
Brand,100.0,7.0,107.0,12.518999999999998,champion,,,,,,,,,,,116
Twisted Fate,0.0,0.8333333333333334,0.8333333333333334,0.065,champion,,,,,,,,,,,117
Zilean,25.0,2.0,27.0,1.404,champion,,,,,,,,,,,118
Soraka,50.0,3.6666666666666665,53.66666666666666,2.093,champion,,,,,,,,,,,119
Maokai,50.0,5.6,55.6,1.4456,champion,,,,,,,,,,,120
Anivia,100.0,3.5,103.5,2.6910000000000003,champion,,,,,,,,,,,121
Shen,0.0,2.25,2.25,0.0585,champion,,,,,,,,,,,122
Nocturne,100.0,7.0,107.0,1.391,champion,,,,,,,,,,,123
Taric,100.0,1.2857142857142858,101.28571428571428,1.3167142857142855,champion,,,,,,,,,,,124
Fiora,0.0,1.4285714285714286,1.4285714285714286,0.0185714285714285,champion,,,,,,,,,,,125
Kha'Zix,0.0,1.75,1.75,0.02275,champion,,,,,,,,,,,126
Kindred,0.0,0.4,0.4,0.0052,champion,,,,,,,,,,,127
Kled,0.0,1.1666666666666667,1.1666666666666667,0.0151666666666666,champion,,,,,,,,,,,128
Nautilus,0.0,2.0,2.0,0.026,champion,,,,,,,,,,,129
Thresh,50.0,4.666666666666667,54.66666666666666,21.046666666666667,champion,,,,,,,,,,,130
Elise,0.0,0.4550408719346049,0.4550408719346049,0.1283215258855585,champion,,,,,,,,,,,131
Lucian,0.0,1.0,1.0,0.231,champion,,,,,,,,,,,132
Kassadin,50.0,1.3333333333333333,51.333333333333336,10.523333333333335,champion,,,,,,,,,,,133
Lee Sin,20.0,3.7,23.7,3.6498,champion,,,,,,,,,,,134
Jax,33.3,1.0,34.3,5.2822,champion,,,,,,,,,,,135
Olaf,50.0,2.333333333333333,52.333333333333336,8.059333333333335,champion,,,,,,,,,,,136
Blitzcrank,0.0,4.666666666666667,4.666666666666667,0.4806666666666667,champion,,,,,,,,,,,137
Kayn,0.0,1.5,1.5,0.1545,champion,,,,,,,,,,,138
Anivia,0.0,0.6,0.6,0.0462,champion,,,,,,,,,,,139
Ashe,50.0,4.8,54.8,2.7947999999999995,champion,,,,,,,,,,,140
Sivir,50.0,5.5,55.5,2.8305,champion,,,,,,,,,,,141
Fiora,0.0,1.6666666666666667,1.6666666666666667,0.085,champion,,,,,,,,,,,142
Vladimir,0.0,0.8,0.8,0.0408,champion,,,,,,,,,,,143
Caitlyn,0.0,2.0,2.0,0.102,champion,,,,,,,,,,,144
Renekton,0.0,0.5,0.5,0.0255,champion,,,,,,,,,,,145
Zac,0.0,0.6666666666666666,0.6666666666666666,0.0339999999999999,champion,,,,,,,,,,,146
Ekko,100.0,6.0,106.0,2.756,champion,,,,,,,,,,,147
Graves,100.0,20.0,120.0,3.12,champion,,,,,,,,,,,148
Vayne,100.0,4.75,104.75,2.7235,champion,,,,,,,,,,,149
Draven,0.0,1.3333333333333333,1.3333333333333333,0.0346666666666666,champion,,,,,,,,,,,150
Jhin,0.0,0.0,0.0,0.0,champion,,,,,,,,,,,151
Kha'Zix,0.0,1.3333333333333333,1.3333333333333333,0.0346666666666666,champion,,,,,,,,,,,152
Malzahar,0.0,0.75,0.75,0.0195,champion,,,,,,,,,,,153
Nunu,0.0,0.75,0.75,0.0195,champion,,,,,,,,,,,154
Soraka,0.0,0.3333333333333333,0.3333333333333333,0.0086666666666666,champion,,,,,,,,,,,155
Yasuo,0.0,0.25,0.25,0.0065,champion,,,,,,,,,,,156
Lucian,20.0,2.2222222222222223,22.22222222222222,4.733333333333333,champion,,,,,,,,,,,157
Renekton,33.3,2.575107296137339,35.87510729613734,4.053887124463519,champion,,,,,,,,,,,158
Thresh,33.3,4.790419161676647,38.09041916167664,3.3519568862275446,champion,,,,,,,,,,,159
Blitzcrank,33.3,2.1133333333333333,35.41333333333333,2.656,champion,,,,,,,,,,,160
Zac,25.0,1.6363636363636365,26.63636363636364,1.678090909090909,champion,,,,,,,,,,,161
Ivern,50.0,3.2,53.2,3.3516000000000004,champion,,,,,,,,,,,162
Kayn,33.3,2.145922746781116,35.445922746781115,1.7722961373390558,champion,,,,,,,,,,,163
Sivir,33.3,2.1235955056179776,35.423595505617975,1.7711797752808989,champion,,,,,,,,,,,164
Elise,50.0,4.333333333333333,54.333333333333336,2.716666666666667,champion,,,,,,,,,,,165
Nocturne,50.0,1.75,51.75,2.5875,champion,,,,,,,,,,,166
Alistar,0.0,1.2,1.2,0.06,champion,,,,,,,,,,,167
Nidalee,0.0,1.0,1.0,0.05,champion,,,,,,,,,,,168
Camille,33.3,1.9940119760479045,35.2940119760479,1.34117245508982,champion,,,,,,,,,,,169
Yasuo,33.3,2.4466666666666668,35.74666666666666,1.358373333333333,champion,,,,,,,,,,,170
Graves,50.0,2.0,52.0,1.976,champion,,,,,,,,,,,171
Urgot,50.0,1.0,51.0,1.938,champion,,,,,,,,,,,172
Morgana,0.0,5.8,5.8,0.145,champion,,,,,,,,,,,173
Braum,100.0,13.0,113.0,2.825,champion,,,,,,,,,,,174
Nasus,100.0,2.0,102.0,2.55,champion,,,,,,,,,,,175
Jax,0.0,1.75,1.75,0.04375,champion,,,,,,,,,,,176
Vladimir,0.0,6.0,6.0,0.15,champion,,,,,,,,,,,177
Ashe,100.0,8.0,108.0,1.404,champion,,,,,,,,,,,178
Lissandra,100.0,9.0,109.0,1.4170000000000005,champion,,,,,,,,,,,179
Tahm Kench,100.0,1.0,101.0,1.3130000000000002,champion,,,,,,,,,,,180
Aurelion Sol,0.0,2.5,2.5,0.0325,champion,,,,,,,,,,,181
Ekko,0.0,3.0,3.0,0.039,champion,,,,,,,,,,,182
Gangplank,0.0,1.5,1.5,0.0195,champion,,,,,,,,,,,183
Jinx,0.0,0.0,0.0,0.0,champion,,,,,,,,,,,184
Mordekaiser,0.0,0.0,0.0,0.0,champion,,,,,,,,,,,185
Nami,0.0,3.5,3.5,0.0455,champion,,,,,,,,,,,186
Rengar,0.0,1.1666666666666667,1.1666666666666667,0.0151666666666666,champion,,,,,,,,,,,187
Sona,0.0,1.25,1.25,0.01625,champion,,,,,,,,,,,188
Zilean,0.0,2.8,2.8,0.0363999999999999,champion,,,,,,,,,,,189
Heimerdinger,0.0,0.266,0.266,0.1077299999999999,champion,,,,,,,,,,,190
Ziggs,0.0,5.5,5.5,0.9185,champion,,,,,,,,,,,191
Cassiopeia,0.0,1.5263157894736843,1.5263157894736843,0.2182631578947368,champion,,,,,,,,,,,192
Zoe,0.0,0.5,0.5,0.0715,champion,,,,,,,,,,,193
Malzahar,25.0,1.8333333333333333,26.83333333333333,3.1931666666666665,champion,,,,,,,,,,,194
Pyke,0.0,0.8,0.8,0.0952,champion,,,,,,,,,,,195
Anivia,100.0,15.0,115.0,13.685,champion,,,,,,,,,,,196
Zilean,100.0,5.0,105.0,12.495,champion,,,,,,,,,,,197
Ezreal,25.0,1.875,26.875,2.553125,champion,,,,,,,,,,,198
Trundle,0.0,1.6996996996996998,1.6996996996996998,0.1614714714714714,champion,,,,,,,,,,,199
Lee Sin,50.0,4.4,54.4,5.167999999999999,champion,,,,,,,,,,,200
Vel'Koz,100.0,10.0,110.0,10.45,champion,,,,,,,,,,,201
Yasuo,100.0,13.0,113.0,10.735,champion,,,,,,,,,,,202
Jarvan IV,33.3,4.291845493562231,37.59184549356223,2.6690210300429187,champion,,,,,,,,,,,203
Kassadin,33.3,2.4943820224719104,35.79438202247191,2.5414011235955054,champion,,,,,,,,,,,204
Cho'Gath,50.0,2.0,52.0,3.692,champion,,,,,,,,,,,205
Darius,100.0,6.0,106.0,7.525999999999999,champion,,,,,,,,,,,206
Singed,100.0,4.5,104.5,7.419499999999999,champion,,,,,,,,,,,207
Graves,50.0,9.0,59.0,2.832,champion,,,,,,,,,,,208
Vayne,0.0,0.8333333333333334,0.8333333333333334,0.04,champion,,,,,,,,,,,209
Viktor,0.0,1.2,1.2,0.0576,champion,,,,,,,,,,,210
Ashe,0.0,0.6666666666666666,0.6666666666666666,0.032,champion,,,,,,,,,,,211
Gnar,0.0,0.0,0.0,0.0,champion,,,,,,,,,,,212
Sejuani,0.0,1.3333333333333333,1.3333333333333333,0.064,champion,,,,,,,,,,,213
Gangplank,100.0,4.0,104.0,2.496,champion,,,,,,,,,,,214
Kalista,100.0,6.5,106.5,2.556,champion,,,,,,,,,,,215
Zac,100.0,14.0,114.0,2.736,champion,,,,,,,,,,,216
Ahri,0.0,4.0,4.0,0.096,champion,,,,,,,,,,,217
Caitlyn,0.0,10.0,10.0,0.24,champion,,,,,,,,,,,218
Corki,0.0,2.0,2.0,0.048,champion,,,,,,,,,,,219
Fiora,0.0,1.5,1.5,0.036,champion,,,,,,,,,,,220
Kog'Maw,0.0,2.0,2.0,0.048,champion,,,,,,,,,,,221
Lulu,0.0,0.1666666666666666,0.1666666666666666,0.004,champion,,,,,,,,,,,222
Nidalee,0.0,0.0,0.0,0.0,champion,,,,,,,,,,,223
Soraka,0.0,1.5,1.5,0.036,champion,,,,,,,,,,,224
Taric,0.0,3.333333333333333,3.333333333333333,0.08,champion,,,,,,,,,,,225
Skarner,0.0,2.1021021021021022,2.1021021021021022,0.3006006006006006,champion,,,,,,,,,,,226
Zilean,50.0,7.75,57.75,6.756749999999999,champion,,,,,,,,,,,227
Draven,50.0,6.666666666666667,56.66666666666666,5.8933333333333335,champion,,,,,,,,,,,228
Ekko,25.0,1.4444444444444444,26.444444444444443,1.718888888888889,champion,,,,,,,,,,,229
Vel'Koz,50.0,2.5,52.5,3.4125,champion,,,,,,,,,,,230
Graves,25.0,3.142857142857143,28.142857142857142,1.4634285714285715,champion,,,,,,,,,,,231
Jax,50.0,2.8,52.8,2.7456,champion,,,,,,,,,,,232
Cho'Gath,33.3,2.145922746781116,35.445922746781115,1.3823909871244635,champion,,,,,,,,,,,233
Jarvan IV,33.3,2.904632152588556,36.20463215258855,1.4119806539509534,champion,,,,,,,,,,,234
Cassiopeia,0.0,1.1976047904191618,1.1976047904191618,0.0467065868263473,champion,,,,,,,,,,,235
Gangplank,50.0,6.333333333333333,56.333333333333336,2.197,champion,,,,,,,,,,,236
Nautilus,50.0,1.7,51.7,2.0163,champion,,,,,,,,,,,237
Zoe,0.0,2.0,2.0,0.078,champion,,,,,,,,,,,238
Yasuo,100.0,2.0,102.0,3.978,champion,,,,,,,,,,,239
Zac,100.0,10.0,110.0,4.29,champion,,,,,,,,,,,240
Malzahar,0.0,1.3333333333333333,1.3333333333333333,0.0519999999999999,champion,,,,,,,,,,,241
Kalista,50.0,3.6,53.6,1.3936000000000002,champion,,,,,,,,,,,242
Fiora,0.0,3.0,3.0,0.078,champion,,,,,,,,,,,243
Hecarim,100.0,4.0,104.0,2.704,champion,,,,,,,,,,,244
Ahri,100.0,3.333333333333333,103.33333333333331,1.3433333333333335,champion,,,,,,,,,,,245
Kled,100.0,9.0,109.0,1.4170000000000005,champion,,,,,,,,,,,246
Rek'Sai,100.0,6.0,106.0,1.378,champion,,,,,,,,,,,247
Singed,100.0,12.0,112.0,1.456,champion,,,,,,,,,,,248
Ashe,0.0,5.0,5.0,0.065,champion,,,,,,,,,,,249
Bard,0.0,1.5,1.5,0.0195,champion,,,,,,,,,,,250
Brand,0.0,2.4,2.4,0.0312,champion,,,,,,,,,,,251
Elise,0.0,2.0,2.0,0.026,champion,,,,,,,,,,,252
Evelynn,0.0,2.0,2.0,0.026,champion,,,,,,,,,,,253
Kassadin,0.0,0.3333333333333333,0.3333333333333333,0.0043333333333333,champion,,,,,,,,,,,254
Lulu,0.0,5.0,5.0,0.065,champion,,,,,,,,,,,255
Mordekaiser,0.0,1.0,1.0,0.013,champion,,,,,,,,,,,256
Nami,0.0,0.3333333333333333,0.3333333333333333,0.0043333333333333,champion,,,,,,,,,,,257
Nidalee,0.0,0.75,0.75,0.00975,champion,,,,,,,,,,,258
Trundle,0.0,1.0,1.0,0.013,champion,,,,,,,,,,,259
Pantheon,100.0,2.142857142857143,102.14285714285714,102.14285714285714,champion,,,,,,,,,,,260
Skarner,16.7,2.4504504504504503,19.15045045045045,5.783436036036036,champion,,,,,,,,,,,261
Irelia,25.0,2.6153846153846154,27.615384615384617,8.339846153846153,champion,,,,,,,,,,,262
Olaf,50.0,4.333333333333333,54.333333333333336,15.159,champion,,,,,,,,,,,263
Camille,14.3,1.821656050955414,16.121656050955416,3.3694261146496816,champion,,,,,,,,,,,264
Galio,33.3,2.11,35.41,6.586259999999999,champion,,,,,,,,,,,265
Alistar,33.3,2.004291845493562,35.30429184549356,5.75459957081545,champion,,,,,,,,,,,266
Caitlyn,0.0,1.0,1.0,0.163,champion,,,,,,,,,,,267
Draven,100.0,10.0,110.0,17.93,champion,,,,,,,,,,,268
Yasuo,50.0,2.6,52.6,7.364,champion,,,,,,,,,,,269
Jayce,33.3,1.9009009009009008,35.2009009009009,4.083304504504504,champion,,,,,,,,,,,270
Karma,33.3,2.556666666666666,35.85666666666666,4.159373333333332,champion,,,,,,,,,,,271
Karthus,33.3,2.0,35.3,4.094799999999999,champion,,,,,,,,,,,272
Aatrox,25.0,2.6,27.6,2.5668,champion,,,,,,,,,,,273
Ekko,0.0,1.2,1.2,0.1116,champion,,,,,,,,,,,274
Sivir,33.3,2.429184549356223,35.72918454935622,3.3228141630901287,champion,,,,,,,,,,,275
Quinn,50.0,2.0,52.0,4.836,champion,,,,,,,,,,,276
Shen,50.0,1.6363636363636365,51.63636363636363,4.802181818181818,champion,,,,,,,,,,,277
Cassiopeia,100.0,4.0,104.0,9.672,champion,,,,,,,,,,,278
Mordekaiser,0.0,0.8888888888888888,0.8888888888888888,0.0622222222222222,champion,,,,,,,,,,,279
Ornn,100.0,3.0,103.0,7.21,champion,,,,,,,,,,,280
Blitzcrank,50.0,1.7142857142857142,51.71428571428572,2.4305714285714286,champion,,,,,,,,,,,281
Cho'Gath,50.0,3.0,53.0,2.491,champion,,,,,,,,,,,282
Hecarim,50.0,5.0,55.0,2.585,champion,,,,,,,,,,,283
Jhin,50.0,13.5,63.5,2.9845,champion,,,,,,,,,,,284
Azir,0.0,0.6666666666666666,0.6666666666666666,0.0313333333333333,champion,,,,,,,,,,,285
Fiddlesticks,100.0,9.0,109.0,5.123000000000001,champion,,,,,,,,,,,286
Veigar,100.0,5.0,105.0,4.935,champion,,,,,,,,,,,287
Braum,0.0,1.3333333333333333,1.3333333333333333,0.0626666666666666,champion,,,,,,,,,,,288
Jinx,0.0,1.5,1.5,0.0705,champion,,,,,,,,,,,289
Fiora,100.0,2.6666666666666665,102.66666666666669,2.361333333333333,champion,,,,,,,,,,,290
Kha'Zix,100.0,1.625,101.625,2.337375,champion,,,,,,,,,,,291
Zoe,100.0,9.0,109.0,2.507,champion,,,,,,,,,,,292
Garen,0.0,3.6666666666666665,3.6666666666666665,0.0843333333333333,champion,,,,,,,,,,,293
Lux,0.0,0.3333333333333333,0.3333333333333333,0.0076666666666666,champion,,,,,,,,,,,294
Nidalee,0.0,1.0,1.0,0.023,champion,,,,,,,,,,,295
Sejuani,0.0,0.3333333333333333,0.3333333333333333,0.0076666666666666,champion,,,,,,,,,,,296
Sylas,0.0,1.0,1.0,0.023,champion,,,,,,,,,,,297
Vi,0.0,0.5714285714285714,0.5714285714285714,0.0131428571428571,champion,,,,,,,,,,,298
Xin Zhao,0.0,1.6666666666666667,1.6666666666666667,0.0383333333333333,champion,,,,,,,,,,,299
Ziggs,0.0,9.0,9.0,0.207,champion,,,,,,,,,,,300
Twisted Fate,33.3,1.9073569482288828,35.20735694822888,7.780825885558582,champion,,,,,,,,,,,301
Rumble,33.3,7.185628742514971,40.48562874251497,7.894697604790418,champion,,,,,,,,,,,302
Pyke,14.3,1.761904761904762,16.061904761904763,2.7144619047619045,champion,,,,,,,,,,,303
Heimerdinger,25.0,2.533333333333333,27.53333333333333,3.2214,champion,,,,,,,,,,,304
Quinn,50.0,2.1666666666666665,52.16666666666666,6.1035,champion,,,,,,,,,,,305
Sion,14.3,1.548951048951049,15.848951048951047,1.4422545454545457,champion,,,,,,,,,,,306
Nocturne,25.0,1.5,26.5,2.4115,champion,,,,,,,,,,,307
Fiora,33.3,1.6928406466512702,34.99284064665127,3.184348498845265,champion,,,,,,,,,,,308
Jax,100.0,2.0,102.0,6.63,champion,,,,,,,,,,,309
Zoe,25.0,6.8,31.8,1.6536000000000002,champion,,,,,,,,,,,310
Mordekaiser,0.0,2.2857142857142856,2.2857142857142856,0.1188571428571428,champion,,,,,,,,,,,311
Cho'Gath,33.3,5.015037593984962,38.31503759398496,1.992381954887218,champion,,,,,,,,,,,312
Kennen,50.0,2.125,52.125,2.7105,champion,,,,,,,,,,,313
Skarner,0.0,2.1666666666666665,2.1666666666666665,0.1126666666666666,champion,,,,,,,,,,,314
Azir,33.3,2.1021021021021022,35.4021021021021,1.380681981981982,champion,,,,,,,,,,,315
Poppy,33.3,2.211991434689508,35.511991434689506,1.384967665952891,champion,,,,,,,,,,,316
Draven,50.0,3.6,53.6,2.0904,champion,,,,,,,,,,,317
Lissandra,50.0,2.333333333333333,52.333333333333336,2.041,champion,,,,,,,,,,,318
Karthus,0.0,2.0,2.0,0.078,champion,,,,,,,,,,,319
Karma,100.0,6.5,106.5,4.153499999999999,champion,,,,,,,,,,,320
Corki,50.0,8.0,58.0,1.508,champion,,,,,,,,,,,321
Jinx,50.0,6.333333333333333,56.333333333333336,1.4646666666666668,champion,,,,,,,,,,,322
Lulu,50.0,4.4,54.4,1.4144,champion,,,,,,,,,,,323
Sivir,100.0,16.0,116.0,3.016,champion,,,,,,,,,,,324
